EmployerName,EmployeeID,ContributionAmount,ContributionDate,PlanID
Employer_48,2869,1071.0,2023-05-23,P0035
Employer_16,1750,1434.21,2023-09-10,P0059
Employer_33,1626,1006.0,2025-02-01,P0020
Employer_9,2629,693.25,2024-07-28,P0024
Employer_6,1994,641.53,2024-07-05,P0047
Employer_16,2583,1488.01,2023-09-27,P0021
Employer_29,1702,625.88,2025-02-03,P0060
Employer_3,3509,1457.89,2024-08-21,P0054
Employer_20,3059,829.52,2024-03-14,P0026
Employer_36,2179,1564.71,2024-08-20,P0020
Employer_19,1476,371.34,2024-02-13,P0006
Employer_26,3986,489.46,2024-01-06,P0003
Employer_3,1400,1403.23,2023-08-13,P0010
Employer_19,3855,1164.44,2023-05-22,P0012
Employer_20,3224,487.37,2024-06-05,P0033
Employer_32,1056,1815.37,2024-05-20,P0022
Employer_7,2875,624.29,2023-04-04,P0016
Employer_41,1447,900.04,2025-02-12,P0017
Employer_33,1202,484.35,2023-02-18,P0010
Employer_40,2656,837.25,2023-04-23,P0012
Employer_39,1737,1034.13,2023-06-06,P0019
Employer_18,1201,660.97,2024-10-04,P0060
Employer_40,2353,1561.28,2023-06-13,P0040
Employer_1,3410,848.47,2025-03-22,P0023
Employer_11,1891,1486.07,2024-11-27,P0040
Employer_28,3501,493.44,2024-03-08,P0010
Employer_25,3403,816.37,2024-09-02,P0010
Employer_50,1215,115.31,2023-03-07,P0050
Employer_23,3602,1541.41,2024-01-30,P0010
Employer_31,3934,1289.18,2024-01-26,P0039
Employer_30,1022,1653.86,2024-09-02,P0030
Employer_42,3202,965.66,2024-04-24,P0004
Employer_35,2209,1619.51,2024-06-25,P0001
Employer_7,3296,1330.41,2023-09-15,P0043
Employer_16,1748,106.86,2024-07-20,P0019
Employer_26,1804,582.02,2023-01-12,P0005
Employer_48,1133,1038.39,2024-11-27,P0030
Employer_49,1320,1275.51,2025-01-08,P0026
Employer_2,3437,224.62,2023-04-28,P0040
Employer_1,1433,1439.65,2024-11-29,P0034
Employer_48,2045,1132.72,2024-07-03,P0002
Employer_12,1872,1098.98,2025-02-07,P0024
Employer_5,3905,654.89,2023-10-01,P0014
Employer_37,3098,1230.16,2025-02-26,P0041
Employer_32,3223,152.24,2024-10-18,P0042
Employer_9,3917,222.93,2023-12-15,P0013
Employer_41,1252,1494.35,2023-04-25,P0029
Employer_35,1965,711.59,2023-10-28,P0001
Employer_19,1738,759.24,2024-03-21,P0046
Employer_48,2129,495.93,2023-06-11,P0034
Employer_16,2339,946.68,2024-04-09,P0004
Employer_3,1301,198.79,2023-01-04,P0028
Employer_20,3595,670.69,2025-01-09,P0019
Employer_24,2977,1101.54,2025-01-06,P0001
Employer_33,3763,984.7,2023-09-27,P0036
Employer_24,3826,1999.37,2024-05-27,P0043
Employer_11,3315,838.65,2025-02-19,P0013
Employer_49,1550,835.3,2023-07-02,P0059
Employer_8,2478,1056.81,2024-06-03,P0050
Employer_36,2315,461.58,2023-04-19,P0042
Employer_38,2587,1764.98,2024-10-02,P0005
Employer_40,2822,1187.31,2023-11-02,P0033
Employer_20,2824,465.0,2024-10-16,P0014
Employer_35,2164,1607.54,2024-06-03,P0016
Employer_48,1313,165.23,2024-09-15,P0056
Employer_25,1183,1966.87,2023-07-23,P0058
Employer_35,2687,1743.78,2023-06-06,P0032
Employer_25,1712,1201.31,2024-01-18,P0050
Employer_29,3175,311.46,2025-02-19,P0027
Employer_18,2310,509.02,2023-06-15,P0035
Employer_46,3747,630.93,2024-07-06,P0003
Employer_18,3433,557.96,2025-03-08,P0004
Employer_2,1270,1045.29,2024-06-27,P0007
Employer_35,2794,1894.66,2023-01-01,P0013
Employer_16,1810,943.93,2024-09-05,P0041
Employer_41,3462,1356.97,2023-11-28,P0003
Employer_36,1197,1408.31,2024-05-15,P0017
Employer_33,2079,1756.0,2023-01-20,P0047
Employer_4,3878,164.26,2023-04-25,P0059
Employer_33,2226,868.23,2024-01-07,P0010
Employer_14,2644,1591.0,2025-05-01,P0047
Employer_21,1627,1648.25,2025-04-06,P0001
Employer_48,1603,1861.93,2023-11-11,P0028
Employer_20,2161,1435.31,2023-09-03,P0059
Employer_8,2445,565.79,2023-03-01,P0054
Employer_7,2080,1060.76,2023-09-04,P0053
Employer_3,2585,161.46,2024-08-03,P0010
Employer_17,3118,1329.16,2023-03-22,P0007
Employer_33,1910,1153.16,2023-03-29,P0039
Employer_48,1593,1366.99,2025-01-19,P0003
Employer_12,2395,1867.27,2024-05-12,P0007
Employer_22,1599,1405.83,2025-04-15,P0009
Employer_22,1513,708.85,2023-03-12,P0040
Employer_46,2895,477.6,2025-02-17,P0035
Employer_30,3131,1723.81,2024-06-29,P0026
Employer_38,2066,469.23,2025-02-23,P0005
Employer_38,3886,407.06,2023-05-09,P0013
Employer_45,2957,492.56,2023-05-12,P0045
Employer_8,3653,1066.8,2024-11-06,P0030
Employer_27,1809,335.96,2024-05-01,P0040
Employer_27,3180,1882.42,2024-07-16,P0050
Employer_34,2088,1935.88,2023-06-19,P0039
Employer_21,1289,1950.22,2023-09-29,P0059
Employer_30,3423,174.34,2024-06-24,P0010
Employer_33,1768,1897.78,2024-09-13,P0042
Employer_28,3514,1995.09,2024-03-09,P0023
Employer_47,1470,1890.62,2023-08-05,P0011
Employer_33,3196,1374.78,2024-07-06,P0012
Employer_5,1087,1432.34,2025-02-12,P0013
Employer_48,3443,332.28,2025-01-17,P0040
Employer_19,1789,1761.16,2024-12-07,P0049
Employer_4,2664,213.32,2023-07-25,P0056
Employer_35,2309,703.69,2024-12-31,P0046
Employer_49,1864,1983.19,2023-11-16,P0049
Employer_17,2293,902.42,2024-02-13,P0051
Employer_44,1023,349.2,2024-11-18,P0016
Employer_28,2886,1941.66,2024-10-27,P0009
Employer_30,1310,1969.87,2024-01-18,P0052
Employer_29,2484,455.38,2024-03-24,P0010
Employer_46,2231,1743.13,2024-06-13,P0029
Employer_6,3711,841.8,2024-04-07,P0009
Employer_35,3485,824.6,2023-05-04,P0033
Employer_41,1705,599.13,2023-09-11,P0024
Employer_37,2359,184.95,2023-08-19,P0035
Employer_24,1421,609.22,2023-03-07,P0011
Employer_29,2773,202.18,2023-12-13,P0039
Employer_49,3368,1856.31,2023-01-22,P0050
Employer_46,3634,1357.27,2024-08-25,P0013
Employer_31,1946,1784.58,2024-07-21,P0055
Employer_35,2186,1462.85,2023-08-24,P0023
Employer_33,2834,349.45,2024-08-25,P0025
Employer_21,2564,1887.1,2023-08-14,P0050
Employer_32,1848,1809.8,2023-01-08,P0016
Employer_23,2589,761.34,2023-03-14,P0056
Employer_33,2318,311.91,2024-12-25,P0048
Employer_3,3089,1437.89,2024-10-08,P0021
Employer_18,2947,1483.89,2023-03-02,P0010
Employer_25,2308,1803.98,2023-08-23,P0041
Employer_42,3986,200.05,2023-03-11,P0040
Employer_31,1386,369.24,2023-02-02,P0019
Employer_3,3035,1236.67,2023-12-05,P0035
Employer_40,2161,1276.35,2023-03-14,P0059
Employer_46,3025,163.86,2024-06-10,P0028
Employer_24,3957,854.17,2023-09-01,P0058
Employer_50,1715,1209.91,2023-10-13,P0056
Employer_32,3478,1502.03,2024-11-16,P0041
Employer_47,3601,700.69,2024-05-12,P0002
Employer_22,3847,1019.42,2023-08-08,P0051
Employer_23,1425,1646.7,2024-07-06,P0030
Employer_2,2439,1912.4,2023-05-16,P0040
Employer_27,3073,537.6,2025-01-10,P0050
Employer_42,1384,580.78,2024-08-07,P0040
Employer_2,1055,1885.65,2024-08-13,P0005
Employer_26,3681,852.23,2024-04-29,P0038
Employer_17,1105,1464.86,2023-09-06,P0042
Employer_40,3896,1263.3,2025-03-14,P0015
Employer_33,1669,642.62,2024-04-29,P0060
Employer_9,1375,1341.77,2025-04-06,P0036
Employer_43,1742,1345.58,2024-02-21,P0003
Employer_48,1966,1225.64,2023-07-14,P0024
Employer_39,1307,289.36,2023-04-07,P0041
Employer_29,3138,1990.83,2023-04-10,P0048
Employer_42,1801,860.79,2024-11-05,P0048
Employer_26,1109,1312.68,2024-03-17,P0047
Employer_35,2664,1782.95,2023-12-29,P0056
Employer_50,3632,904.25,2024-03-09,P0041
Employer_25,1339,1570.46,2024-02-25,P0049
Employer_24,2588,1946.47,2024-04-23,P0053
Employer_13,1978,781.98,2025-01-16,P0012
Employer_7,3403,870.01,2023-02-25,P0055
Employer_36,2915,1820.59,2024-11-20,P0008
Employer_45,1167,403.32,2024-10-31,P0014
Employer_20,1556,154.33,2024-10-23,P0059
Employer_1,1904,1826.89,2023-04-11,P0018
Employer_8,1104,1661.02,2023-03-04,P0044
Employer_46,3047,1947.91,2024-02-17,P0059
Employer_16,3197,210.65,2025-01-15,P0046
Employer_14,1145,396.74,2023-12-14,P0020
Employer_12,3763,300.09,2025-03-30,P0023
Employer_23,1873,1398.49,2023-04-22,P0005
Employer_15,1298,1251.42,2023-09-12,P0001
Employer_28,2736,782.74,2023-07-16,P0045
Employer_34,1645,209.1,2023-07-14,P0046
Employer_2,3770,1315.36,2024-07-03,P0002
Employer_32,1637,1183.23,2024-04-04,P0016
Employer_23,3286,314.52,2023-05-24,P0005
Employer_22,3511,1826.93,2024-03-08,P0022
Employer_25,3500,478.0,2023-07-07,P0001
Employer_22,1783,1512.67,2023-10-13,P0012
Employer_22,1896,1781.64,2024-04-18,P0019
Employer_49,1370,1201.0,2023-09-13,P0054
Employer_42,1486,569.01,2023-03-19,P0022
Employer_6,3037,687.57,2024-03-29,P0055
Employer_15,3212,1782.92,2025-04-07,P0042
Employer_43,2360,666.69,2024-07-17,P0044
Employer_37,1191,1517.76,2023-04-11,P0051
Employer_33,1729,1981.31,2023-02-21,P0048
Employer_8,3261,1999.65,2024-10-29,P0017
Employer_44,3621,1113.61,2024-07-07,P0013
Employer_44,1956,1670.46,2023-01-16,P0039
Employer_5,1380,1981.47,2023-04-06,P0028
Employer_39,3720,811.88,2025-02-10,P0059
Employer_4,1797,579.58,2023-08-31,P0003
Employer_6,1238,317.04,2023-06-20,P0005
Employer_45,3747,367.71,2024-02-21,P0036
Employer_32,2105,1721.76,2024-05-12,P0060
Employer_30,2386,1218.57,2024-05-07,P0015
Employer_47,3552,1760.05,2023-08-07,P0017
Employer_35,3249,1599.96,2024-02-15,P0044
Employer_40,3967,1380.11,2023-03-02,P0055
Employer_16,2527,1257.69,2023-06-18,P0046
Employer_13,2667,191.84,2024-01-24,P0029
Employer_50,1036,1757.32,2023-01-03,P0004
Employer_42,3691,893.9,2024-02-04,P0032
Employer_30,2996,1163.6,2023-09-29,P0049
Employer_19,2425,141.71,2025-03-13,P0043
Employer_17,3812,1878.54,2025-03-14,P0038
Employer_19,3753,1815.21,2024-04-10,P0004
Employer_28,3592,1132.23,2023-10-20,P0013
Employer_26,2490,1196.89,2024-03-09,P0020
Employer_37,2224,1439.53,2024-12-14,P0047
Employer_26,3587,602.92,2025-01-18,P0018
Employer_23,3022,521.64,2025-03-13,P0049
Employer_9,3441,1380.64,2024-07-23,P0051
Employer_12,1832,298.4,2024-11-08,P0042
Employer_1,1596,962.72,2025-01-05,P0037
Employer_1,3440,1036.24,2024-05-13,P0012
Employer_47,1699,824.54,2023-06-08,P0025
Employer_34,2646,452.01,2023-07-14,P0030
Employer_32,3018,775.1,2023-10-31,P0015
Employer_48,1440,741.36,2023-08-11,P0055
Employer_25,2860,1048.6,2023-03-01,P0036
Employer_40,2640,1381.89,2024-08-16,P0008
Employer_45,2529,1939.65,2025-01-23,P0028
Employer_1,3965,373.91,2024-07-09,P0052
Employer_16,3367,1758.73,2023-03-04,P0022
Employer_39,3600,639.94,2025-02-04,P0060
Employer_5,2094,1223.61,2023-11-18,P0049
Employer_22,1567,1138.8,2023-02-28,P0038
Employer_29,3966,1158.2,2023-02-21,P0016
Employer_3,1235,1474.38,2024-08-21,P0058
Employer_12,2304,825.21,2024-05-03,P0005
Employer_26,2185,706.29,2024-05-29,P0046
Employer_16,2032,1720.39,2024-06-27,P0034
Employer_37,3107,518.18,2023-06-11,P0049
Employer_22,3940,442.47,2023-02-28,P0038
Employer_29,2840,129.65,2024-06-04,P0011
Employer_14,1224,500.1,2023-03-24,P0002
Employer_28,2842,1085.21,2023-07-10,P0025
Employer_5,3747,1123.17,2023-03-12,P0025
Employer_47,1581,583.4,2024-09-01,P0001
Employer_49,1168,237.32,2023-03-11,P0031
Employer_30,2465,1514.82,2024-11-22,P0005
Employer_46,1013,1540.15,2023-08-29,P0040
Employer_5,3211,1995.89,2024-02-18,P0004
Employer_12,2443,1810.06,2023-05-03,P0051
Employer_16,3804,1859.52,2024-08-06,P0005
Employer_26,2870,1616.59,2023-09-10,P0005
Employer_26,2543,1269.46,2024-08-15,P0056
Employer_48,2689,344.24,2024-08-31,P0016
Employer_21,2571,1282.4,2023-02-10,P0054
Employer_39,2051,206.32,2024-09-26,P0018
Employer_36,2731,1782.07,2023-03-25,P0043
Employer_33,1445,1015.46,2024-03-05,P0017
Employer_30,1715,1425.2,2024-11-04,P0035
Employer_37,1818,199.26,2024-08-20,P0018
Employer_23,3151,1115.07,2024-08-01,P0004
Employer_10,3789,672.4,2024-06-19,P0051
Employer_5,1425,641.44,2023-11-20,P0031
Employer_36,2124,840.35,2023-09-25,P0031
Employer_34,2564,101.21,2023-07-29,P0009
Employer_31,3686,986.66,2024-11-16,P0031
Employer_10,1849,1024.48,2025-01-03,P0005
Employer_19,2545,1739.95,2023-11-18,P0036
Employer_32,2129,952.2,2023-09-02,P0016
Employer_1,2702,790.76,2023-09-29,P0042
Employer_5,3001,1990.02,2024-02-10,P0041
Employer_45,3816,1185.31,2023-05-15,P0016
Employer_4,1276,997.97,2024-11-18,P0020
Employer_16,2806,1042.28,2024-10-22,P0054
Employer_24,3947,1637.44,2023-11-04,P0030
Employer_16,3235,747.29,2024-04-13,P0026
Employer_2,2939,839.4,2023-11-20,P0049
Employer_49,3152,1536.16,2025-02-08,P0031
Employer_28,1545,238.67,2023-03-16,P0050
Employer_32,3427,1743.82,2023-01-10,P0015
Employer_27,1109,917.39,2024-04-14,P0052
Employer_20,1544,1204.46,2024-09-28,P0041
Employer_24,3401,1539.2,2024-07-30,P0038
Employer_12,1742,605.5,2023-04-13,P0038
Employer_50,3364,1791.6,2023-03-17,P0043
Employer_35,2289,1960.53,2024-07-04,P0057
Employer_33,2875,1039.12,2023-08-07,P0060
Employer_33,2088,1880.18,2024-06-02,P0020
Employer_43,1332,102.14,2023-09-29,P0035
Employer_37,2536,1799.05,2023-05-16,P0023
Employer_12,2156,690.99,2023-12-24,P0044
Employer_3,1591,691.84,2023-03-12,P0047
Employer_1,1782,533.37,2023-09-08,P0039
Employer_33,1539,702.33,2024-01-14,P0025
Employer_40,3782,505.62,2023-10-19,P0054
Employer_10,2558,1821.15,2023-06-11,P0050
Employer_43,2519,1808.15,2024-03-24,P0022
Employer_44,3668,294.2,2024-07-10,P0047
Employer_29,1618,371.43,2024-12-21,P0008
Employer_13,3956,1737.84,2023-11-06,P0054
Employer_12,2833,857.98,2024-09-18,P0009
Employer_31,1991,421.62,2025-04-06,P0015
Employer_46,3146,1070.27,2024-10-31,P0048
Employer_2,3364,891.67,2024-06-25,P0020
Employer_50,3170,516.41,2023-01-09,P0035
Employer_35,3846,1469.43,2024-11-14,P0059
Employer_23,2616,1299.45,2025-04-16,P0037
Employer_17,2518,289.36,2024-07-21,P0003
Employer_26,3504,1858.23,2023-11-03,P0059
Employer_8,1521,1161.09,2024-11-10,P0060
Employer_29,3567,575.39,2023-04-17,P0034
Employer_26,1916,491.95,2023-05-18,P0034
Employer_10,1716,358.3,2023-09-28,P0036
Employer_26,3362,906.81,2023-04-29,P0035
Employer_34,3756,357.53,2023-04-20,P0009
Employer_41,3757,890.05,2025-01-30,P0030
Employer_7,2936,382.66,2024-07-20,P0055
Employer_4,1559,1347.93,2023-06-09,P0054
Employer_50,1968,1591.96,2023-10-06,P0026
Employer_45,3403,1144.09,2023-10-16,P0012
Employer_11,2077,1392.11,2024-09-11,P0024
Employer_29,1889,1882.92,2023-08-04,P0041
Employer_36,1792,1312.91,2025-01-04,P0019
Employer_25,3312,791.9,2023-12-18,P0044
Employer_21,1981,954.01,2023-07-28,P0016
Employer_36,1801,1735.0,2024-12-04,P0026
Employer_10,1042,348.37,2024-10-11,P0023
Employer_37,2609,718.9,2023-09-28,P0057
Employer_9,3909,1196.83,2024-06-01,P0033
Employer_24,2777,1385.14,2024-05-15,P0042
Employer_35,1349,1550.65,2023-09-15,P0057
Employer_49,2567,704.59,2023-02-22,P0030
Employer_35,2129,377.13,2023-04-05,P0023
Employer_48,3959,1914.19,2024-10-11,P0010
Employer_36,3048,245.15,2024-03-09,P0036
Employer_18,2780,282.03,2025-04-29,P0031
Employer_49,1583,1040.39,2023-10-11,P0043
Employer_39,1431,1656.61,2023-02-15,P0060
Employer_32,2932,1571.56,2023-01-04,P0022
Employer_24,3100,1881.63,2023-12-08,P0043
Employer_23,3987,369.04,2025-02-28,P0043
Employer_32,3567,813.88,2023-05-14,P0054
Employer_37,2348,636.07,2024-10-14,P0038
Employer_12,3194,1735.65,2023-09-26,P0047
Employer_49,3030,1027.87,2023-06-15,P0002
Employer_13,2189,151.01,2025-01-29,P0053
Employer_23,2162,1445.13,2024-03-28,P0023
Employer_25,3676,838.53,2024-07-18,P0054
Employer_35,1298,1109.18,2024-12-23,P0035
Employer_41,2939,1798.2,2024-03-13,P0059
Employer_30,1788,587.8,2024-07-28,P0060
Employer_17,1849,556.5,2023-01-10,P0037
Employer_49,3225,600.07,2023-04-25,P0032
Employer_20,3889,742.41,2023-03-19,P0056
Employer_48,2377,303.97,2024-12-08,P0043
Employer_25,2177,1424.72,2023-06-02,P0053
Employer_22,2949,494.06,2024-07-12,P0012
Employer_13,1877,1859.68,2023-02-06,P0058
Employer_19,2138,509.8,2024-01-14,P0035
Employer_49,2577,585.72,2024-08-19,P0041
Employer_36,3806,664.34,2024-07-19,P0059
Employer_12,3492,1560.22,2023-06-01,P0003
Employer_41,3755,912.45,2024-03-16,P0034
Employer_19,3649,1656.74,2023-05-11,P0038
Employer_12,2646,1591.22,2023-02-12,P0024
Employer_9,2903,1866.03,2023-11-12,P0038
Employer_7,2382,1537.55,2024-01-09,P0017
Employer_28,1144,198.63,2025-03-26,P0040
Employer_14,3322,1690.83,2023-02-10,P0001
Employer_31,3556,1882.34,2024-01-02,P0057
Employer_19,2202,1988.01,2023-08-04,P0008
Employer_47,3800,338.01,2024-11-29,P0054
Employer_16,2861,1265.22,2023-09-13,P0015
Employer_5,2854,478.97,2024-11-13,P0050
Employer_35,3524,598.77,2023-04-16,P0045
Employer_12,2866,1516.61,2023-12-29,P0025
Employer_25,2098,1957.57,2025-03-09,P0008
Employer_21,2151,1230.23,2024-07-27,P0052
Employer_36,2734,1716.11,2024-02-21,P0032
Employer_23,3713,116.88,2024-09-27,P0050
Employer_16,1567,169.6,2025-02-06,P0013
Employer_39,2813,1233.78,2023-06-08,P0046
Employer_45,1530,839.07,2023-08-31,P0015
Employer_42,3206,1790.54,2023-06-16,P0006
Employer_39,2561,673.77,2025-03-30,P0033
Employer_14,1680,920.9,2025-04-10,P0007
Employer_31,3070,1103.03,2023-07-01,P0033
Employer_5,2070,618.77,2024-02-27,P0047
Employer_35,3572,1826.14,2023-01-26,P0029
Employer_23,1728,982.61,2023-07-03,P0038
Employer_29,2729,905.9,2025-01-24,P0037
Employer_43,3191,1714.53,2023-12-07,P0044
Employer_11,1667,692.76,2025-03-12,P0032
Employer_18,2612,1653.18,2024-02-26,P0058
Employer_47,1680,332.32,2025-04-01,P0003
Employer_12,1972,447.3,2024-11-16,P0054
Employer_9,3846,1906.6,2025-01-22,P0020
Employer_10,3132,1700.65,2025-04-10,P0014
Employer_44,3463,837.01,2023-09-12,P0028
Employer_17,3741,1313.07,2023-10-01,P0038
Employer_38,3529,1891.64,2023-06-13,P0004
Employer_7,3503,502.53,2025-03-17,P0015
Employer_46,1826,212.12,2024-12-19,P0017
Employer_13,1296,1121.19,2023-04-21,P0037
Employer_40,2253,370.93,2024-01-27,P0024
Employer_42,3997,455.91,2023-02-09,P0038
Employer_9,3727,1793.92,2024-04-26,P0042
Employer_50,3425,114.07,2023-08-16,P0041
Employer_27,3468,1651.96,2023-07-24,P0036
Employer_2,3152,1082.21,2025-04-16,P0058
Employer_5,2728,1162.66,2024-04-16,P0041
Employer_29,3024,1376.36,2023-12-25,P0008
Employer_37,1329,919.75,2023-11-09,P0003
Employer_38,3486,319.66,2025-04-20,P0030
Employer_19,2155,295.36,2025-03-25,P0022
Employer_8,2890,1533.29,2023-08-22,P0052
Employer_48,1381,519.97,2023-08-17,P0033
Employer_45,3185,153.39,2023-01-25,P0025
Employer_1,3990,1961.27,2024-11-06,P0052
Employer_22,1842,1962.74,2023-07-17,P0059
Employer_17,3317,818.47,2024-02-13,P0030
Employer_7,1395,148.5,2023-12-03,P0037
Employer_25,3960,1481.8,2023-10-13,P0003
Employer_45,3511,1678.92,2023-03-13,P0004
Employer_4,1449,337.53,2025-03-02,P0029
Employer_36,2354,357.37,2023-10-13,P0057
Employer_6,2986,1662.23,2023-12-26,P0032
Employer_31,2308,1851.62,2024-10-18,P0023
Employer_19,2297,1602.43,2024-06-05,P0056
Employer_44,3067,481.42,2024-02-14,P0019
Employer_39,3286,881.89,2024-11-26,P0015
Employer_27,2293,1241.6,2024-07-03,P0051
Employer_10,3465,404.56,2023-12-06,P0016
Employer_26,2849,500.14,2023-01-29,P0023
Employer_19,1185,637.48,2023-04-29,P0040
Employer_39,2233,1068.08,2023-09-25,P0046
Employer_3,2437,1070.53,2023-07-02,P0037
Employer_45,1252,1647.16,2024-08-17,P0001
Employer_13,1018,1530.72,2023-09-29,P0019
Employer_50,3759,1836.1,2023-02-09,P0037
Employer_28,2159,1682.51,2023-04-22,P0035
Employer_20,1222,582.37,2024-09-02,P0030
Employer_28,1002,729.46,2024-03-20,P0017
Employer_8,2259,1050.8,2023-12-20,P0039
Employer_41,1853,127.12,2025-01-16,P0049
Employer_39,2488,1817.41,2025-03-16,P0026
Employer_1,1227,184.25,2023-11-18,P0013
Employer_3,3960,712.64,2024-03-22,P0054
Employer_13,2677,1181.43,2024-09-12,P0022
Employer_28,1498,1083.9,2024-06-07,P0046
Employer_49,3568,1343.47,2023-04-29,P0023
Employer_25,3749,1102.29,2024-01-30,P0044
Employer_33,2885,535.1,2024-08-13,P0043
Employer_38,3964,482.05,2023-07-14,P0033
Employer_6,3015,1823.77,2023-09-18,P0027
Employer_44,2162,601.54,2023-02-15,P0035
Employer_45,2299,633.86,2024-12-26,P0012
Employer_32,3338,884.61,2024-03-22,P0009
Employer_45,2076,364.93,2023-01-02,P0034
Employer_47,1714,1063.82,2024-06-16,P0014
Employer_21,1947,1363.56,2025-04-05,P0037
Employer_16,3695,1593.4,2024-07-05,P0003
Employer_21,3731,1451.76,2024-12-04,P0044
Employer_11,1869,380.51,2025-01-06,P0044
Employer_37,2070,966.53,2025-01-29,P0021
Employer_36,1093,173.31,2025-01-24,P0007
Employer_35,3987,133.82,2024-11-17,P0033
Employer_19,1559,936.25,2023-07-21,P0035
Employer_20,2775,580.62,2024-01-08,P0011
Employer_18,3260,1398.39,2024-03-17,P0045
Employer_47,1435,1476.06,2023-03-13,P0032
Employer_41,1851,1801.27,2024-11-11,P0022
Employer_49,3555,1545.3,2023-12-05,P0055
Employer_14,3883,191.66,2024-09-30,P0042
Employer_15,3698,806.08,2023-11-18,P0019
Employer_31,1204,618.74,2024-11-10,P0036
Employer_1,3428,833.65,2023-05-08,P0054
Employer_3,2099,404.14,2025-01-07,P0037
Employer_16,1076,285.64,2023-11-04,P0011
Employer_23,1815,1089.87,2024-06-03,P0041
Employer_11,1767,1468.72,2023-11-13,P0013
